dt,year,month,day_of_week,is_weekend,is_holiday,temp_mean,temp_max,temp_min,precipitation,wiki_pageviews,trends_interest,visitor_count
2023-02-12,2023,2,6,1,0,12.3,19.4,5.8,0.0,0,0,6361
2023-02-13,2023,2,0,0,0,12.5,19.7,5.3,0.0,0,0,4656
2023-02-14,2023,2,1,0,0,12.9,21.0,4.8,0.0,0,0,5243
2023-02-15,2023,2,2,0,0,13.5,20.9,6.3,0.0,0,0,4663
2023-02-16,2023,2,3,0,0,13.2,20.8,5.9,0.0,0,0,5121
2023-02-17,2023,2,4,0,0,13.3,20.4,6.0,0.0,0,0,4640
2023-02-18,2023,2,5,1,0,13.5,21.0,5.5,0.0,0,0,6465
2023-02-19,2023,2,6,1,0,13.7,21.3,6.1,0.0,0,0,6032
2023-02-20,2023,2,0,0,0,13.1,18.6,7.0,0.0,0,0,5563
2023-02-21,2023,2,1,0,0,13.5,19.2,6.7,0.0,0,0,5187
2023-02-22,2023,2,2,0,0,13.7,19.3,7.1,0.0,0,0,5322
2023-02-23,2023,2,3,0,0,12.8,18.1,6.2,0.5,0,0,5221
2023-02-24,2023,2,4,0,0,12.9,20.9,6.1,0.0,0,0,5479
2023-02-25,2023,2,5,1,0,12.7,20.2,5.7,0.0,0,0,6155
2023-02-26,2023,2,6,1,0,11.6,18.2,8.0,0.3,0,0,5881
2023-02-27,2023,2,0,0,0,10.7,14.7,6.8,0.2,0,0,4786
2023-02-28,2023,2,1,0,0,11.9,18.9,6.8,0.0,0,0,4894
2023-03-01,2023,3,2,0,0,13.2,20.6,5.8,0.0,0,0,5143
2023-03-02,2023,3,3,0,0,13.5,20.8,6.1,0.0,0,0,5215
2023-03-03,2023,3,4,0,0,13.7,22.1,5.8,0.0,0,0,5102
2023-03-04,2023,3,5,1,0,14.3,21.5,7.0,0.0,0,0,6260
2023-03-05,2023,3,6,1,0,14.5,21.2,6.5,0.0,0,0,6548
2023-03-06,2023,3,0,0,0,14.8,21.5,7.3,0.0,0,0,4846
2023-03-07,2023,3,1,0,0,15.2,22.7,7.2,0.0,0,0,5106
2023-03-08,2023,3,2,0,0,15.7,24.0,8.2,0.0,0,0,5443
2023-03-09,2023,3,3,0,0,16.5,24.1,8.1,0.0,0,0,5058
2023-03-10,2023,3,4,0,0,16.2,24.1,7.6,0.0,0,0,5466
2023-03-11,2023,3,5,1,0,16.5,24.4,8.6,0.0,0,0,6236
2023-03-12,2023,3,6,1,0,16.2,24.0,8.4,0.0,0,0,6191
2023-03-13,2023,3,0,0,0,13.5,19.6,7.4,0.1,0,0,5104
2023-03-14,2023,3,1,0,0,14.4,22.3,6.4,0.0,0,0,5217
2023-03-15,2023,3,2,0,0,14.7,22.1,8.1,0.0,0,0,5127
2023-03-16,2023,3,3,0,0,14.1,20.4,8.3,0.0,0,0,5474
2023-03-17,2023,3,4,0,0,14.9,22.8,7.6,0.0,0,0,5132
2023-03-18,2023,3,5,1,0,15.4,21.6,8.5,0.1,0,0,6512
2023-03-19,2023,3,6,1,0,15.8,23.5,8.3,0.0,0,0,6512
2023-03-20,2023,3,0,0,0,15.0,20.6,10.8,0.6,0,0,5156
2023-03-21,2023,3,1,0,0,14.2,20.2,9.1,0.0,0,0,5454
2023-03-22,2023,3,2,0,0,13.5,20.1,8.5,0.1,0,0,5513
2023-03-23,2023,3,3,0,0,13.4,20.6,6.4,0.0,0,0,5273
2023-03-24,2023,3,4,0,0,14.2,21.8,5.8,0.0,0,0,5352
2023-03-25,2023,3,5,1,0,15.1,22.9,7.3,0.0,0,0,5916
2023-03-26,2023,3,6,1,0,15.3,21.7,8.7,0.0,0,0,6393
2023-03-27,2023,3,0,0,0,15.2,22.5,9.1,0.3,0,0,5437
2023-03-28,2023,3,1,0,0,13.9,19.5,9.7,0.0,0,0,5534
2023-03-29,2023,3,2,0,0,13.8,22.0,5.8,0.0,0,0,5074
2023-03-30,2023,3,3,0,0,14.9,22.7,7.2,0.0,0,0,5252
2023-03-31,2023,3,4,0,0,15.1,22.4,8.3,0.0,0,0,5459
2023-04-01,2023,4,5,1,0,15.1,23.2,7.9,0.1,0,0,6128
2023-04-02,2023,4,6,1,0,14.1,20.0,10.8,2.6,0,0,6304
2023-04-03,2023,4,0,0,0,13.8,20.6,8.7,0.0,0,0,4578
2023-04-04,2023,4,1,0,0,14.5,21.5,7.8,0.0,0,0,5313
2023-04-05,2023,4,2,0,1,15.1,22.1,8.3,0.0,0,0,8250
2023-04-06,2023,4,3,0,0,15.7,22.5,9.3,0.0,0,0,4909
2023-04-07,2023,4,4,0,0,16.6,24.9,8.1,0.0,0,0,5213
2023-04-08,2023,4,5,1,0,17.7,26.1,8.9,0.0,0,0,6272
2023-04-09,2023,4,6,1,0,18.7,27.0,9.5,0.0,0,0,6413
2023-04-10,2023,4,0,0,0,18.8,26.6,10.3,0.0,0,0,4862
2023-04-11,2023,4,1,0,0,19.1,26.9,10.9,0.0,0,0,5165
2023-04-12,2023,4,2,0,0,19.1,27.2,10.8,0.0,0,0,5746
2023-04-13,2023,4,3,0,0,19.1,27.1,10.3,0.0,0,0,5380
2023-04-14,2023,4,4,0,0,20.4,28.7,10.8,0.0,0,0,5223
2023-04-15,2023,4,5,1,0,20.1,27.1,12.7,0.0,0,0,6615
2023-04-16,2023,4,6,1,0,21.2,28.4,13.2,0.0,0,0,6455
2023-04-17,2023,4,0,0,0,21.6,29.1,13.5,0.0,0,0,5592
2023-04-18,2023,4,1,0,0,21.0,28.1,13.0,0.0,0,0,5391
2023-04-19,2023,4,2,0,0,21.3,29.3,12.8,0.0,0,0,5829
2023-04-20,2023,4,3,0,0,20.8,28.2,13.1,0.0,0,0,5491
2023-04-21,2023,4,4,0,0,19.7,26.7,13.0,0.0,0,0,5475
2023-04-22,2023,4,5,1,0,18.9,25.7,12.9,0.0,0,0,6058
2023-04-23,2023,4,6,1,0,18.2,25.5,12.0,0.0,0,0,6203
2023-04-24,2023,4,0,0,0,18.4,24.3,12.8,0.0,0,0,5561
2023-04-25,2023,4,1,0,0,19.0,25.1,11.5,0.0,0,0,5207
2023-04-26,2023,4,2,0,0,19.2,25.1,13.3,0.0,0,0,5575
2023-04-27,2023,4,3,0,0,19.5,25.7,12.4,0.0,0,0,5049
2023-04-28,2023,4,4,0,0,18.6,24.2,12.8,0.0,0,0,5335
2023-04-29,2023,4,5,1,0,18.5,25.4,12.3,0.0,0,0,6576
2023-04-30,2023,4,6,1,0,18.5,24.4,12.4,0.0,0,0,6423
2023-05-01,2023,5,0,0,1,18.2,23.9,13.0,0.5,0,0,8615
2023-05-02,2023,5,1,0,1,18.5,24.8,13.7,0.0,0,0,8891
2023-05-03,2023,5,2,0,1,19.0,25.5,12.5,0.0,0,0,9093
2023-05-04,2023,5,3,0,0,20.5,28.3,12.9,0.0,0,0,5534
2023-05-05,2023,5,4,0,0,20.4,26.9,13.8,0.0,0,0,5748
2023-05-06,2023,5,5,1,0,20.5,26.6,13.9,0.0,0,0,6688
2023-05-07,2023,5,6,1,0,21.1,29.5,13.0,0.0,0,0,6394
2023-05-08,2023,5,0,0,0,21.8,29.7,14.1,0.0,0,0,5479
2023-05-09,2023,5,1,0,0,21.8,29.2,13.8,0.0,0,0,5727
2023-05-10,2023,5,2,0,0,20.7,26.7,14.9,0.3,0,0,5202
2023-05-11,2023,5,3,0,0,19.6,24.6,14.0,0.0,0,0,5169
2023-05-12,2023,5,4,0,0,21.0,28.5,12.4,0.0,0,0,5346
2023-05-13,2023,5,5,1,0,17.2,20.8,15.0,6.0,0,0,5770
2023-05-14,2023,5,6,1,0,14.0,15.1,12.7,15.3,0,0,5893
2023-05-15,2023,5,0,0,0,13.0,14.9,11.8,22.4,0,0,4901
2023-05-16,2023,5,1,0,0,17.2,23.0,12.4,0.0,0,0,5315
2023-05-17,2023,5,2,0,0,18.3,25.2,12.0,0.0,0,0,5025
2023-05-18,2023,5,3,0,0,19.7,26.4,13.0,0.0,0,0,4955
2023-05-19,2023,5,4,0,0,20.0,26.9,13.5,0.0,0,0,5461
2023-05-20,2023,5,5,1,0,20.4,26.9,14.2,0.1,0,0,6623
2023-05-21,2023,5,6,1,0,21.1,29.0,13.5,0.0,0,0,6741
2023-05-22,2023,5,0,0,0,21.4,29.7,14.1,0.0,0,0,5388
2023-05-23,2023,5,1,0,0,21.7,28.6,14.7,0.0,0,0,5078
2023-05-24,2023,5,2,0,0,21.9,28.9,15.5,0.0,0,0,5460
2023-05-25,2023,5,3,0,0,20.5,25.2,15.7,0.0,0,0,5260
2023-05-26,2023,5,4,0,0,20.7,27.3,15.7,0.1,0,0,5094
2023-05-27,2023,5,5,1,0,21.7,28.9,15.3,0.0,0,0,6713
2023-05-28,2023,5,6,1,0,22.7,29.8,15.0,0.0,0,0,6084
2023-05-29,2023,5,0,0,0,24.3,32.8,16.5,0.0,0,0,5502
2023-05-30,2023,5,1,0,0,25.2,33.0,17.2,0.0,0,0,5064
2023-05-31,2023,5,2,0,0,26.0,33.4,19.0,0.0,0,0,5325
2023-06-01,2023,6,3,0,0,25.6,33.3,18.0,0.0,0,0,5393
2023-06-02,2023,6,4,0,0,23.6,30.8,18.2,0.5,0,0,5475
2023-06-03,2023,6,5,1,0,23.1,29.8,17.6,0.4,0,0,6305
2023-06-04,2023,6,6,1,0,23.7,30.9,16.7,0.0,0,0,6541
2023-06-05,2023,6,0,0,0,24.6,32.4,17.0,0.0,0,0,4955
2023-06-06,2023,6,1,0,0,23.5,29.2,18.5,2.6,0,0,4885
2023-06-07,2023,6,2,0,0,22.3,28.3,17.6,2.3,0,0,5154
2023-06-08,2023,6,3,0,0,20.2,25.5,18.1,23.2,0,0,5164
2023-06-09,2023,6,4,0,0,19.1,22.2,17.3,29.1,0,0,5076
2023-06-10,2023,6,5,1,0,17.0,18.8,15.7,8.6,0,0,6231
2023-06-11,2023,6,6,1,0,18.0,21.7,15.5,0.3,0,0,6443
2023-06-12,2023,6,0,0,0,18.6,21.4,16.7,3.2,0,0,5092
2023-06-13,2023,6,1,0,0,18.5,21.3,16.8,5.9,0,0,5363
2023-06-14,2023,6,2,0,0,17.7,18.9,16.4,22.3,0,0,4734
2023-06-15,2023,6,3,0,0,20.0,24.3,17.1,2.7,0,0,5089
2023-06-16,2023,6,4,0,0,20.7,25.4,17.1,0.2,0,0,5488
2023-06-17,2023,6,5,1,0,20.9,26.5,16.6,0.0,0,0,6330
2023-06-18,2023,6,6,1,0,21.6,27.0,16.9,0.0,0,0,6186
2023-06-19,2023,6,0,0,0,21.7,26.6,16.8,1.0,0,0,5365
2023-06-20,2023,6,1,0,0,21.2,26.6,17.2,0.7,0,0,5545
2023-06-21,2023,6,2,0,0,21.3,26.4,17.7,0.3,0,0,5375
2023-06-22,2023,6,3,0,1,20.4,24.5,17.0,3.2,0,0,8533
2023-06-23,2023,6,4,0,1,19.8,24.4,17.8,6.6,0,0,8630
2023-06-24,2023,6,5,1,0,20.0,25.5,16.8,8.4,0,0,6561
2023-06-25,2023,6,6,1,0,20.9,26.3,16.4,2.3,0,0,6279
2023-06-26,2023,6,0,0,0,21.6,27.2,17.3,0.5,0,0,5495
2023-06-27,2023,6,1,0,0,22.5,27.2,17.9,0.0,0,0,5233
2023-06-28,2023,6,2,0,0,23.0,29.3,17.9,0.0,0,0,5303
2023-06-29,2023,6,3,0,0,23.1,29.1,18.0,0.0,0,0,5495
2023-06-30,2023,6,4,0,0,23.2,29.1,17.6,0.0,0,0,5290
2023-07-01,2023,7,5,1,0,23.8,29.8,18.1,0.0,0,0,6459
2023-07-02,2023,7,6,1,0,24.0,29.9,18.7,0.0,0,0,6369
2023-07-03,2023,7,0,0,0,24.0,29.8,19.3,0.1,0,0,5337
2023-07-04,2023,7,1,0,0,21.1,24.3,19.2,24.3,0,0,5191
2023-07-05,2023,7,2,0,0,21.5,27.1,17.9,0.1,0,0,5743
2023-07-06,2023,7,3,0,0,22.0,26.5,18.2,0.9,0,0,5121
2023-07-07,2023,7,4,0,0,22.4,27.3,18.2,0.3,0,0,5214
2023-07-08,2023,7,5,1,0,22.2,27.1,18.2,0.0,0,0,6524
2023-07-09,2023,7,6,1,0,20.9,24.3,19.1,16.9,0,0,6798
2023-07-10,2023,7,0,0,0,21.5,26.0,18.4,0.4,0,0,5558
2023-07-11,2023,7,1,0,0,21.2,25.6,18.2,0.5,0,0,5801
2023-07-12,2023,7,2,0,0,21.1,25.1,18.2,3.5,0,0,5106
2023-07-13,2023,7,3,0,0,20.9,25.5,17.8,10.4,0,0,5214
2023-07-14,2023,7,4,0,0,21.1,27.2,17.6,10.5,0,0,5625
2023-07-15,2023,7,5,1,0,20.8,25.2,18.3,4.1,0,0,6750
2023-07-16,2023,7,6,1,0,22.1,27.4,18.1,0.0,0,0,6480
2023-07-17,2023,7,0,0,0,22.6,27.8,17.9,0.0,0,0,5442
2023-07-18,2023,7,1,0,0,23.0,29.4,16.7,0.0,0,0,5437
2023-07-19,2023,7,2,0,0,22.9,28.4,17.1,0.0,0,0,5589
2023-07-20,2023,7,3,0,0,20.2,24.8,18.0,8.3,0,0,5414
2023-07-21,2023,7,4,0,0,20.7,24.4,17.6,9.3,0,0,5332
2023-07-22,2023,7,5,1,0,20.8,24.7,18.6,10.9,0,0,6503
2023-07-23,2023,7,6,1,0,21.0,25.5,17.5,0.8,0,0,7141
2023-07-24,2023,7,0,0,0,21.5,26.6,18.1,0.9,0,0,5235
2023-07-25,2023,7,1,0,0,21.3,25.7,18.1,0.1,0,0,5344
2023-07-26,2023,7,2,0,0,21.8,27.4,17.4,0.3,0,0,5320
2023-07-27,2023,7,3,0,0,22.5,28.8,17.8,1.0,0,0,5376
2023-07-28,2023,7,4,0,0,21.1,25.5,19.2,17.2,0,0,5037
2023-07-29,2023,7,5,1,0,20.3,24.4,18.5,20.0,0,0,5658
2023-07-30,2023,7,6,1,0,21.2,25.1,18.6,12.9,0,0,6362
2023-07-31,2023,7,0,0,0,20.8,25.5,17.6,20.4,0,0,4946
2023-08-01,2023,8,1,0,0,20.4,24.0,17.9,8.2,0,0,4923
2023-08-02,2023,8,2,0,0,20.5,25.1,18.3,17.4,0,0,4854
2023-08-03,2023,8,3,0,0,20.9,26.0,18.1,15.1,0,0,4933
2023-08-04,2023,8,4,0,0,20.6,24.6,18.4,5.9,0,0,5059
2023-08-05,2023,8,5,1,0,20.6,23.9,18.6,13.3,0,0,6150
2023-08-06,2023,8,6,1,0,19.9,22.2,18.7,21.8,0,0,6321
2023-08-07,2023,8,0,0,0,20.4,23.7,18.6,14.8,0,0,5228
2023-08-08,2023,8,1,0,0,21.1,25.0,17.9,9.0,0,0,5207
2023-08-09,2023,8,2,0,0,21.0,25.7,18.0,25.3,0,0,5385
2023-08-10,2023,8,3,0,0,21.3,25.1,18.3,5.0,0,0,5234
2023-08-11,2023,8,4,0,0,21.7,27.1,17.8,0.5,0,0,5326
2023-08-12,2023,8,5,1,0,20.2,22.9,18.7,9.9,0,0,6120
2023-08-13,2023,8,6,1,0,20.9,25.7,17.7,5.0,0,0,6366
2023-08-14,2023,8,0,0,0,21.2,24.6,18.1,5.1,0,0,5468
2023-08-15,2023,8,1,0,0,20.9,24.8,18.1,2.3,0,0,5106
2023-08-16,2023,8,2,0,0,21.0,25.6,17.1,6.7,0,0,5183
2023-08-17,2023,8,3,0,0,21.5,26.3,18.1,11.9,0,0,5653
2023-08-18,2023,8,4,0,0,21.8,26.7,17.7,2.9,0,0,5162
2023-08-19,2023,8,5,1,0,21.4,25.3,19.0,3.0,0,0,6499
2023-08-20,2023,8,6,1,0,21.3,25.9,17.9,1.0,0,0,6442
2023-08-21,2023,8,0,0,0,20.2,23.6,18.7,12.6,0,0,5187
2023-08-22,2023,8,1,0,0,19.7,22.8,18.2,17.5,0,0,5030
2023-08-23,2023,8,2,0,0,19.9,23.5,17.9,6.5,0,0,5154
2023-08-24,2023,8,3,0,0,19.3,22.2,17.9,14.0,0,0,5161
2023-08-25,2023,8,4,0,0,20.4,24.8,17.8,3.7,0,0,5396
2023-08-26,2023,8,5,1,0,21.0,25.6,17.8,0.3,0,0,6689
2023-08-27,2023,8,6,1,0,20.6,26.5,17.8,5.6,0,0,6874
2023-08-28,2023,8,0,0,0,19.0,20.7,17.8,8.7,0,0,5149
2023-08-29,2023,8,1,0,0,19.7,24.1,16.7,0.7,0,0,5712
2023-08-30,2023,8,2,0,0,19.0,21.4,17.9,22.9,0,0,5329
2023-08-31,2023,8,3,0,0,19.8,24.9,17.5,3.7,0,0,5389
2023-09-01,2023,9,4,0,0,19.5,23.1,17.7,12.3,0,0,4936
2023-09-02,2023,9,5,1,0,17.9,19.1,17.0,14.0,0,0,6150
2023-09-03,2023,9,6,1,0,19.8,25.1,15.2,0.2,0,0,6156
2023-09-04,2023,9,0,0,0,20.3,24.7,16.5,0.0,0,0,5397
2023-09-05,2023,9,1,0,0,20.0,24.3,16.5,0.5,0,0,5244
2023-09-06,2023,9,2,0,0,19.8,25.2,16.1,2.5,0,0,5517
2023-09-07,2023,9,3,0,0,19.9,24.0,17.2,4.4,0,0,5362
2023-09-08,2023,9,4,0,0,20.3,24.4,17.1,2.7,0,0,4982
2023-09-09,2023,9,5,1,0,20.1,24.9,16.9,11.3,0,0,6351
2023-09-10,2023,9,6,1,0,20.2,24.0,17.5,3.0,0,0,6604
2023-09-11,2023,9,0,0,0,20.9,25.9,17.1,0.7,0,0,5028
2023-09-12,2023,9,1,0,0,20.0,24.4,17.9,10.1,0,0,5395
2023-09-13,2023,9,2,0,0,18.2,20.1,16.4,6.7,0,0,4773
2023-09-14,2023,9,3,0,0,19.3,24.4,15.8,0.0,0,0,5261
2023-09-15,2023,9,4,0,0,20.5,25.6,16.3,0.0,0,0,5421
2023-09-16,2023,9,5,1,0,21.1,26.3,16.1,0.0,0,0,6542
2023-09-17,2023,9,6,1,0,20.9,27.3,15.6,0.0,0,0,6478
2023-09-18,2023,9,0,0,0,20.1,24.2,16.3,1.8,0,0,5648
2023-09-19,2023,9,1,0,0,20.3,25.5,16.9,0.0,0,0,5597
2023-09-20,2023,9,2,0,0,20.4,25.8,17.2,0.3,0,0,5453
2023-09-21,2023,9,3,0,0,20.3,25.0,17.2,0.2,0,0,5542
2023-09-22,2023,9,4,0,0,20.3,24.6,17.0,0.7,0,0,5200
2023-09-23,2023,9,5,1,0,20.6,25.3,17.1,0.0,0,0,6484
2023-09-24,2023,9,6,1,0,20.8,26.0,17.1,0.0,0,0,6434
2023-09-25,2023,9,0,0,0,20.8,26.5,16.8,0.0,0,0,5734
2023-09-26,2023,9,1,0,0,19.9,24.4,15.3,1.3,0,0,5342
2023-09-27,2023,9,2,0,0,19.8,25.0,16.4,9.2,0,0,5374
2023-09-28,2023,9,3,0,0,18.9,22.9,16.1,15.9,0,0,4990
2023-09-29,2023,9,4,0,1,19.0,23.2,15.9,5.1,0,0,8370
2023-09-30,2023,9,5,1,0,19.8,24.6,15.6,4.1,0,0,6485
2023-10-01,2023,10,6,1,1,20.2,25.1,16.6,0.8,0,0,9926
2023-10-02,2023,10,0,0,1,20.6,25.8,16.9,0.2,0,0,8745
2023-10-03,2023,10,1,0,1,20.5,25.4,16.8,0.1,0,0,8286
2023-10-04,2023,10,2,0,1,20.5,25.3,16.7,0.0,0,0,8602
2023-10-05,2023,10,3,0,1,20.2,25.0,16.7,0.3,0,0,9040
2023-10-06,2023,10,4,0,1,20.2,24.8,16.6,0.1,0,0,8941
2023-10-07,2023,10,5,1,0,18.1,21.3,16.5,22.2,0,0,6159
2023-10-08,2023,10,6,1,0,16.7,18.8,15.5,14.9,0,0,6168
2023-10-09,2023,10,0,0,0,17.8,21.6,15.7,5.6,0,0,5239
2023-10-10,2023,10,1,0,0,17.0,19.3,15.5,6.3,0,0,5210
2023-10-11,2023,10,2,0,0,17.3,20.0,15.7,3.0,0,0,5506
2023-10-12,2023,10,3,0,0,17.1,18.8,15.9,24.3,0,0,4726
2023-10-13,2023,10,4,0,0,16.2,17.7,14.3,19.8,0,0,5143
2023-10-14,2023,10,5,1,0,16.4,20.5,13.6,1.3,0,0,6403
2023-10-15,2023,10,6,1,0,16.3,20.9,13.0,2.3,0,0,6053
2023-10-16,2023,10,0,0,0,17.2,23.0,12.7,0.0,0,0,5344
2023-10-17,2023,10,1,0,0,16.7,21.9,12.3,0.0,0,0,5382
2023-10-18,2023,10,2,0,0,16.6,21.9,11.8,0.0,0,0,5262
2023-10-19,2023,10,3,0,0,16.7,23.2,11.1,0.0,0,0,5151
2023-10-20,2023,10,4,0,0,16.2,21.5,12.4,0.4,0,0,4987
2023-10-21,2023,10,5,1,0,16.2,22.0,11.2,0.0,0,0,6097
2023-10-22,2023,10,6,1,0,16.2,22.1,10.6,0.0,0,0,6232
2023-10-23,2023,10,0,0,0,16.7,22.9,11.5,0.0,0,0,5102
2023-10-24,2023,10,1,0,0,16.6,20.5,14.4,3.0,0,0,5436
2023-10-25,2023,10,2,0,0,17.1,21.0,14.7,2.4,0,0,5286
2023-10-26,2023,10,3,0,0,16.9,22.3,13.7,0.1,0,0,4957
2023-10-27,2023,10,4,0,0,16.3,21.5,12.0,0.0,0,0,5364
2023-10-28,2023,10,5,1,0,15.6,21.0,10.8,0.0,0,0,6353
2023-10-29,2023,10,6,1,0,15.0,20.8,10.5,0.0,0,0,6284
2023-10-30,2023,10,0,0,0,15.9,21.6,12.2,0.0,0,0,5331
2023-10-31,2023,10,1,0,0,15.8,21.5,11.0,0.0,0,0,5396
2023-11-01,2023,11,2,0,0,16.6,22.5,12.0,0.0,0,0,5420
2023-11-02,2023,11,3,0,0,16.1,21.2,12.2,0.0,0,0,5443
2023-11-03,2023,11,4,0,0,15.6,21.6,10.4,0.0,0,0,5401
2023-11-04,2023,11,5,1,0,15.2,20.1,10.5,0.0,0,0,6411
2023-11-05,2023,11,6,1,0,14.9,20.7,10.2,0.0,0,0,6356
2023-11-06,2023,11,0,0,0,14.9,21.1,10.3,0.0,0,0,5132
2023-11-07,2023,11,1,0,0,14.8,20.3,9.9,0.0,0,0,5271
2023-11-08,2023,11,2,0,0,14.4,20.0,9.9,0.0,0,0,5247
2023-11-09,2023,11,3,0,0,13.9,19.7,8.9,0.0,0,0,4861
2023-11-10,2023,11,4,0,0,13.7,19.7,8.6,0.0,0,0,4952
2023-11-11,2023,11,5,1,0,14.2,21.0,9.1,0.0,0,0,5928
2023-11-12,2023,11,6,1,0,14.3,20.8,9.1,0.0,0,0,6077
2023-11-13,2023,11,0,0,0,14.4,20.4,9.3,0.0,0,0,5336
2023-11-14,2023,11,1,0,0,15.3,21.7,9.6,0.0,0,0,5276
2023-11-15,2023,11,2,0,0,15.6,21.6,11.5,0.0,0,0,5069
2023-11-16,2023,11,3,0,0,12.7,14.3,9.9,0.1,0,0,5101
2023-11-17,2023,11,4,0,0,9.7,10.7,8.7,12.4,0,0,4743
2023-11-18,2023,11,5,1,0,10.6,12.0,9.9,17.7,0,0,5651
2023-11-19,2023,11,6,1,0,11.4,16.5,8.3,0.0,0,0,5944
2023-11-20,2023,11,0,0,0,11.9,19.1,7.4,0.0,0,0,5039
2023-11-21,2023,11,1,0,0,11.8,18.2,7.1,0.0,0,0,5182
2023-11-22,2023,11,2,0,0,13.3,19.3,8.7,0.0,0,0,5145
2023-11-23,2023,11,3,0,0,12.1,17.9,8.6,0.0,0,0,5201
2023-11-24,2023,11,4,0,0,12.1,18.7,7.6,0.0,0,0,5409
2023-11-25,2023,11,5,1,0,12.5,18.4,8.0,0.0,0,0,6324
2023-11-26,2023,11,6,1,0,12.4,17.6,7.9,0.0,0,0,6343
2023-11-27,2023,11,0,0,0,12.0,18.5,8.3,0.0,0,0,4954
2023-11-28,2023,11,1,0,0,12.2,19.3,7.5,0.0,0,0,5419
2023-11-29,2023,11,2,0,0,12.4,18.5,7.9,0.0,0,0,5104
2023-11-30,2023,11,3,0,0,13.3,19.7,8.9,0.0,0,0,5198
2023-12-01,2023,12,4,0,0,13.2,19.5,7.8,0.0,0,0,4658
2023-12-02,2023,12,5,1,0,13.3,19.8,8.9,0.0,0,0,6051
2023-12-03,2023,12,6,1,0,12.9,17.6,9.7,0.0,0,0,6205
2023-12-04,2023,12,0,0,0,12.5,18.1,8.9,0.0,0,0,4927
